"Game_id","Team_id","Player_id","x_0","y_0","x_1","y_1","Throw_outcome","Possession_outcome"
"2021-06-05-BOS-PIT",219,8928,-4.01,46.96,16.46,105.36,"Goal",1
"2021-06-05-BOS-PIT",219,8934,1.6,13.25,4.22,19.73,"Completion",1
"2021-06-05-BOS-PIT",219,8928,4.22,19.73,13.26,34.15,"Completion",1
"2021-06-05-BOS-PIT",219,8945,13.26,34.15,14.13,49.66,"Completion",1
"2021-06-05-BOS-PIT",219,8923,14.13,49.66,10.49,38.81,"Completion",1
"2021-06-05-BOS-PIT",219,8928,10.49,38.81,-6.85,41.28,"Completion",1
"2021-06-05-BOS-PIT",219,8934,-6.85,41.28,-17.86,41.57,"Completion",1
"2021-06-05-BOS-PIT",219,8937,-17.86,41.57,15.44,49.44,"Completion",1
"2021-06-05-BOS-PIT",219,9577,15.44,49.44,17.7,67.2,"Completion",1
"2021-06-05-BOS-PIT",219,8928,17.7,67.2,5.53,64.44,"Completion",1
"2021-06-05-BOS-PIT",219,8937,5.53,64.44,-14.65,71.65,"Completion",1
"2021-06-05-BOS-PIT",219,9577,-14.65,71.65,-14.65,108.27,"Goal",1
"2021-06-05-BOS-PIT",219,8934,-8.75,14.7,-0.3,25.7,"Completion",0
"2021-06-05-BOS-PIT",219,8928,-0.3,25.7,14.49,25.33,"Completion",0
"2021-06-05-BOS-PIT",219,8937,14.49,25.33,6.77,49.8,"Completion",0
"2021-06-05-BOS-PIT",219,8923,6.77,49.8,1.09,60.07,"Completion",0
"2021-06-05-BOS-PIT",219,9577,1.09,60.07,-8.47,71.14,"Completion",0
"2021-06-05-BOS-PIT",219,8937,-8.47,71.14,-16.11,74.78,"Completion",0
"2021-06-05-BOS-PIT",219,9577,-16.11,74.78,-2.12,68.59,"Completion",0
"2021-06-05-BOS-PIT",219,8945,-2.12,68.59,3.42,70.41,"Completion",0
"2021-06-05-BOS-PIT",219,8928,3.42,70.41,-10.06,72.74,"Completion",0
"2021-06-05-BOS-PIT",219,8945,-10.06,72.74,5.75,77.98,"Completion",0
"2021-06-05-BOS-PIT",219,8934,5.75,77.98,-20.62,94.07,"Turnover",0
"2021-06-05-BOS-PIT",219,9446,10.27,16.16,1.38,29.92,"Completion",1
"2021-06-05-BOS-PIT",219,8950,1.38,29.92,2.47,106.16,"Goal",1
"2021-06-05-BOS-PIT",219,8950,19.59,19.87,13.62,28.98,"Completion",0
"2021-06-05-BOS-PIT",219,9580,13.62,28.98,5.53,27.08,"Completion",0
"2021-06-05-BOS-PIT",219,9446,5.53,27.08,-7.87,24.17,"Completion",0
"2021-06-05-BOS-PIT",219,9578,-7.87,24.17,-11.44,26.79,"Completion",0
"2021-06-05-BOS-PIT",219,8946,-11.44,26.79,-4.01,28.47,"Completion",0
"2021-06-05-BOS-PIT",219,9578,-4.01,28.47,-16.54,50.67,"Turnover",0
"2021-06-05-BOS-PIT",219,8928,1.31,19.44,-5.18,30.07,"Completion",1
"2021-06-05-BOS-PIT",219,8934,-5.18,30.07,-17.27,44.78,"Completion",1
"2021-06-05-BOS-PIT",219,9577,-17.27,44.78,-18.29,50.6,"Completion",1
"2021-06-05-BOS-PIT",219,8945,-18.29,50.6,-21.5,65.09,"Completion",1
"2021-06-05-BOS-PIT",219,8923,-21.5,65.09,-23.39,78.42,"Completion",1
