"X_0","Y_0","X","Y","Score_Prob"
5,50,3,95,0.41
6,50,3,95,0.42
7,50,3,95,0.41
8,50,3,95,0.42
9,50,3,95,0.45
10,50,3,95,0.5
1,45,3,95,0.43
2,45,3,95,0.44
3,45,3,95,0.38
4,45,3,95,0.39
5,45,3,95,0.43
6,45,3,95,0.41
7,45,3,95,0.39
8,45,3,95,0.38
9,45,3,95,0.44
10,45,3,95,0.52
1,40,3,95,0.4
2,40,3,95,0.44
3,40,3,95,0.38
4,40,3,95,0.39
5,40,3,95,0.45
6,40,3,95,0.42
7,40,3,95,0.35
8,40,3,95,0.41
9,40,3,95,0.47
10,40,3,95,0.54
1,35,3,95,0.41
2,35,3,95,0.47
3,35,3,95,0.38
4,35,3,95,0.42
5,35,3,95,0.45
6,35,3,95,0.42
7,35,3,95,0.34
8,35,3,95,0.38
9,35,3,95,0.45
10,35,3,95,0.53
1,30,3,95,0.41
2,30,3,95,0.45
3,30,3,95,0.36
4,30,3,95,0.38
5,30,3,95,0.44
6,30,3,95,0.41
7,30,3,95,0.36
8,30,3,95,0.4
9,30,3,95,0.46
10,30,3,95,0.59
1,25,3,95,0.42
2,25,3,95,0.42
3,25,3,95,0.36
4,25,3,95,0.37
5,25,3,95,0.47
6,25,3,95,0.44
7,25,3,95,0.36
8,25,3,95,0.43
9,25,3,95,0.5
10,25,3,95,0.56
1,20,3,95,0.45
2,20,3,95,0.44
3,20,3,95,0.42
4,20,3,95,0.39
5,20,3,95,0.43
6,20,3,95,0.43
7,20,3,95,0.41
8,20,3,95,0.42
9,20,3,95,0.49
10,20,3,95,0.55
1,15,3,95,0.47
2,15,3,95,0.46
3,15,3,95,0.44
4,15,3,95,0.39
5,15,3,95,0.42
6,15,3,95,0.43
7,15,3,95,0.42
8,15,3,95,0.42
9,15,3,95,0.48
10,15,3,95,0.52
1,10,3,95,0.49
2,10,3,95,0.45
3,10,3,95,0.51
4,10,3,95,0.42
5,10,3,95,0.49
6,10,3,95,0.45
7,10,3,95,0.43
8,10,3,95,0.42
9,10,3,95,0.52
10,10,3,95,0.53
1,5,3,95,0.54
2,5,3,95,0.51
3,5,3,95,0.55
4,5,3,95,0.46
5,5,3,95,0.5
6,5,3,95,0.48
7,5,3,95,0.48
8,5,3,95,0.44
9,5,3,95,0.52
10,5,3,95,0.58
1,0,3,95,0.58
2,0,3,95,0.56
3,0,3,95,0.57
4,0,3,95,0.47
5,0,3,95,0.46
6,0,3,95,0.52
7,0,3,95,0.51
8,0,3,95,0.44
9,0,3,95,0.55
10,0,3,95,0.61
1,-5,3,95,NA
2,-5,3,95,NA
3,-5,3,95,NA
4,-5,3,95,NA
5,-5,3,95,NA
6,-5,3,95,NA
7,-5,3,95,NA
8,-5,3,95,NA
9,-5,3,95,NA
10,-5,3,95,NA
1,-10,3,95,NA
2,-10,3,95,NA
3,-10,3,95,NA
4,-10,3,95,NA
5,-10,3,95,NA
6,-10,3,95,NA
7,-10,3,95,NA
8,-10,3,95,NA
9,-10,3,95,NA
10,-10,3,95,NA
1,-15,3,95,NA
2,-15,3,95,NA
3,-15,3,95,NA
4,-15,3,95,NA
5,-15,3,95,NA
6,-15,3,95,NA
7,-15,3,95,NA
8,-15,3,95,NA
9,-15,3,95,NA
10,-15,3,95,NA
1,-20,3,95,NA
2,-20,3,95,NA
3,-20,3,95,NA
4,-20,3,95,NA
5,-20,3,95,NA
6,-20,3,95,NA
7,-20,3,95,NA
8,-20,3,95,NA
9,-20,3,95,NA
10,-20,3,95,NA
1,95,4,95,0.45
2,95,4,95,0.42
3,95,4,95,0.4
4,95,4,95,0.36
5,95,4,95,0.39
6,95,4,95,0.35
7,95,4,95,0.38
8,95,4,95,0.45
9,95,4,95,0.5
10,95,4,95,0.47
1,90,4,95,0.47
2,90,4,95,0.43
3,90,4,95,0.41
4,90,4,95,0.36
5,90,4,95,0.44
6,90,4,95,0.33
7,90,4,95,0.4
8,90,4,95,0.48
9,90,4,95,0.48
10,90,4,95,0.46
1,85,4,95,0.45
2,85,4,95,0.41
3,85,4,95,0.39
4,85,4,95,0.39
5,85,4,95,0.45
6,85,4,95,0.37
7,85,4,95,0.4
8,85,4,95,0.45
9,85,4,95,0.46
10,85,4,95,0.45
1,80,4,95,0.43
2,80,4,95,0.42
3,80,4,95,0.42
4,80,4,95,0.4
5,80,4,95,0.44
6,80,4,95,0.37
7,80,4,95,0.37
8,80,4,95,0.45
9,80,4,95,0.44
10,80,4,95,0.45
1,75,4,95,0.39
2,75,4,95,0.44
3,75,4,95,0.38
4,75,4,95,0.45
5,75,4,95,0.49
6,75,4,95,0.38
7,75,4,95,0.39
8,75,4,95,0.48
9,75,4,95,0.45
10,75,4,95,0.45
1,70,4,95,0.37
2,70,4,95,0.41
3,70,4,95,0.43
4,70,4,95,0.42
5,70,4,95,0.47
6,70,4,95,0.38
7,70,4,95,0.39
8,70,4,95,0.46
9,70,4,95,0.45
10,70,4,95,0.44
1,65,4,95,0.33
2,65,4,95,0.48
3,65,4,95,0.39
4,65,4,95,0.45
5,65,4,95,0.44
6,65,4,95,0.4
7,65,4,95,0.33
8,65,4,95,0.43
9,65,4,95,0.44
10,65,4,95,0.46
1,60,4,95,0.42
2,60,4,95,0.48
3,60,4,95,0.43
4,60,4,95,0.48
5,60,4,95,0.48
6,60,4,95,0.45
7,60,4,95,0.36
8,60,4,95,0.41
9,60,4,95,0.47
10,60,4,95,0.49
1,55,4,95,0.43
2,55,4,95,0.46
3,55,4,95,0.42
4,55,4,95,0.44
5,55,4,95,0.5
6,55,4,95,0.43
7,55,4,95,0.43
8,55,4,95,0.4
9,55,4,95,0.47
10,55,4,95,0.49
1,50,4,95,0.47
2,50,4,95,0.45
3,50,4,95,0.4
4,50,4,95,0.41
5,50,4,95,0.46
6,50,4,95,0.42
7,50,4,95,0.41
8,50,4,95,0.41
9,50,4,95,0.44
10,50,4,95,0.48
1,45,4,95,0.47
2,45,4,95,0.45
3,45,4,95,0.43
4,45,4,95,0.43
5,45,4,95,0.44
6,45,4,95,0.45
7,45,4,95,0.4
8,45,4,95,0.36
9,45,4,95,0.41
10,45,4,95,0.52
1,40,4,95,0.5
2,40,4,95,0.48
3,40,4,95,0.45
4,40,4,95,0.4
5,40,4,95,0.47
6,40,4,95,0.4
7,40,4,95,0.4
8,40,4,95,0.36
9,40,4,95,0.44
10,40,4,95,0.55
1,35,4,95,0.45
2,35,4,95,0.45
3,35,4,95,0.39
4,35,4,95,0.43
5,35,4,95,0.49
6,35,4,95,0.44
7,35,4,95,0.39
8,35,4,95,0.4
9,35,4,95,0.52
10,35,4,95,0.58
1,30,4,95,0.46
2,30,4,95,0.43
